state,year,type_code,type,gender,age_group,total
A & N Islands,2001,Means_adopted,By Hanging,Female,0-14,2
A & N Islands,2001,Means_adopted,By Hanging,Male,0-14,2
A & N Islands,2001,Means_adopted,By Fire/Self Immolation,Female,15-29,2
A & N Islands,2001,Means_adopted,By Consuming Other Poison,Female,15-29,9
A & N Islands,2001,Means_adopted,By Hanging,Female,15-29,20
A & N Islands,2001,Means_adopted,By Consuming Other Poison,Male,15-29,4
A & N Islands,2001,Means_adopted,By Fire/Self Immolation,Male,15-29,1
A & N Islands,2001,Means_adopted,By Hanging,Male,15-29,20
A & N Islands,2001,Means_adopted,By Fire/Self Immolation,Female,30-44,1
A & N Islands,2001,Means_adopted,By Drowning,Female,30-44,1
A & N Islands,2001,Means_adopted,By Hanging,Female,30-44,7
A & N Islands,2001,Means_adopted,By Hanging,Male,30-44,22
A & N Islands,2001,Means_adopted,By Drowning,Male,30-44,1
A & N Islands,2001,Means_adopted,By Hanging,Female,45-59,4
A & N Islands,2001,Means_adopted,By Fire/Self Immolation,Female,45-59,1
A & N Islands,2001,Means_adopted,By Hanging,Male,45-59,17
A & N Islands,2001,Means_adopted,By Drowning,Male,45-59,1
A & N Islands,2001,Means_adopted,By Consuming Other Poison,Male,45-59,3
A & N Islands,2001,Means_adopted,By Hanging,Female,60+,3
A & N Islands,2001,Means_adopted,By Hanging,Male,60+,8
A & N Islands,2002,Means_adopted,By Hanging,Female,0-14,2
A & N Islands,2002,Means_adopted,By Hanging,Male,0-14,2
A & N Islands,2002,Means_adopted,By Consuming Other Poison,Female,15-29,4
A & N Islands,2002,Means_adopted,By Fire/Self Immolation,Female,15-29,4
A & N Islands,2002,Means_adopted,By Hanging,Female,15-29,20
A & N Islands,2002,Means_adopted,By Hanging,Male,15-29,23
A & N Islands,2002,Means_adopted,By Consuming Other Poison,Male,15-29,4
A & N Islands,2002,Means_adopted,By Hanging,Female,30-44,8
A & N Islands,2002,Means_adopted,By Consuming Other Poison,Female,30-44,4
A & N Islands,2002,Means_adopted,By Fire/Self Immolation,Female,30-44,2
A & N Islands,2002,Means_adopted,By Drowning,Male,30-44,1
A & N Islands,2002,Means_adopted,By Consuming Other Poison,Male,30-44,4
A & N Islands,2002,Means_adopted,By Hanging,Male,30-44,23
A & N Islands,2002,Means_adopted,By Fire/Self Immolation,Female,45-59,1
A & N Islands,2002,Means_adopted,By Consuming Other Poison,Female,45-59,1
A & N Islands,2002,Means_adopted,By Hanging,Female,45-59,4
A & N Islands,2002,Means_adopted,By Hanging,Male,45-59,17
A & N Islands,2002,Means_adopted,By Consuming Other Poison,Male,45-59,3
A & N Islands,2002,Means_adopted,By Drowning,Male,45-59,1
A & N Islands,2002,Means_adopted,By Hanging,Female,60+,1
A & N Islands,2002,Means_adopted,By Consuming Other Poison,Female,60+,1
A & N Islands,2002,Means_adopted,By Fire/Self Immolation,Female,60+,1
A & N Islands,2002,Means_adopted,By Fire/Self Immolation,Male,60+,1
A & N Islands,2002,Means_adopted,By Hanging,Male,60+,12
A & N Islands,2003,Means_adopted,By Hanging,Female,0-14,4
A & N Islands,2003,Means_adopted,By Hanging,Male,0-14,1
A & N Islands,2003,Means_adopted,By Consuming Insecticides,Female,15-29,5
A & N Islands,2003,Means_adopted,By Hanging,Female,15-29,20
A & N Islands,2003,Means_adopted,By Other means (please specify),Female,15-29,3
A & N Islands,2003,Means_adopted,By Hanging,Male,15-29,22
A & N Islands,2003,Means_adopted,By Consuming Insecticides,Male,15-29,1
A & N Islands,2003,Means_adopted,By Consuming Insecticides,Female,30-44,3
A & N Islands,2003,Means_adopted,By Hanging,Female,30-44,5
A & N Islands,2003,Means_adopted,By Hanging,Male,30-44,23
A & N Islands,2003,Means_adopted,By Hanging,Female,45-59,1
A & N Islands,2003,Means_adopted,By Other means (please specify),Female,45-59,1
A & N Islands,2003,Means_adopted,By Other means (please specify),Male,45-59,1
A & N Islands,2003,Means_adopted,By Consuming Insecticides,Male,45-59,1
A & N Islands,2003,Means_adopted,By Hanging,Male,45-59,15
A & N Islands,2003,Means_adopted,By Hanging,Female,60+,1
A & N Islands,2003,Means_adopted,By Drowning,Male,60+,1
A & N Islands,2003,Means_adopted,By Hanging,Male,60+,5
A & N Islands,2004,Means_adopted,By Hanging,Female,0-14,1
A & N Islands,2004,Means_adopted,By Consuming Other Poison,Female,15-29,5
A & N Islands,2004,Means_adopted,By Fire/Self Immolation,Female,15-29,1
A & N Islands,2004,Means_adopted,By Hanging,Female,15-29,17
A & N Islands,2004,Means_adopted,By Hanging,Male,15-29,30
A & N Islands,2004,Means_adopted,By Consuming Other Poison,Male,15-29,3
A & N Islands,2004,Means_adopted,By touching electric wires,Male,15-29,1
A & N Islands,2004,Means_adopted,By Fire/Self Immolation,Female,30-44,2
A & N Islands,2004,Means_adopted,By Hanging,Female,30-44,11
A & N Islands,2004,Means_adopted,By touching electric wires,Male,30-44,1
A & N Islands,2004,Means_adopted,By Hanging,Male,30-44,22
A & N Islands,2004,Means_adopted,By Consuming Other Poison,Male,30-44,1
A & N Islands,2004,Means_adopted,By Hanging,Female,45-59,2
A & N Islands,2004,Means_adopted,By Consuming Other Poison,Female,45-59,1
A & N Islands,2004,Means_adopted,By Drowning,Male,45-59,1
A & N Islands,2004,Means_adopted,By Hanging,Male,45-59,12
A & N Islands,2004,Means_adopted,By Consuming Other Poison,Male,45-59,1
A & N Islands,2004,Means_adopted,By Hanging,Female,60+,1
A & N Islands,2004,Means_adopted,By Hanging,Male,60+,9
A & N Islands,2005,Means_adopted,By Hanging,Female,0-14,3
A & N Islands,2005,Means_adopted,By Consuming Insecticides,Male,0-14,1
A & N Islands,2005,Means_adopted,By Hanging,Male,0-14,4
A & N Islands,2005,Means_adopted,By Fire/Self Immolation,Female,15-29,2
A & N Islands,2005,Means_adopted,By Hanging,Female,15-29,20
A & N Islands,2005,Means_adopted,By Consuming Insecticides,Female,15-29,5
A & N Islands,2005,Means_adopted,By Hanging,Male,15-29,13
A & N Islands,2005,Means_adopted,By Consuming Insecticides,Male,15-29,2
A & N Islands,2005,Means_adopted,By Consuming Insecticides,Female,30-44,3
A & N Islands,2005,Means_adopted,By Drowning,Female,30-44,1
A & N Islands,2005,Means_adopted,By Hanging,Female,30-44,3
A & N Islands,2005,Means_adopted,By Fire/Self Immolation,Female,30-44,1
A & N Islands,2005,Means_adopted,By Hanging,Male,30-44,21
A & N Islands,2005,Means_adopted,By Fire/Self Immolation,Male,30-44,1
A & N Islands,2005,Means_adopted,By Consuming Insecticides,Male,30-44,2
A & N Islands,2005,Means_adopted,By Hanging,Female,45-59,7
A & N Islands,2005,Means_adopted,By Consuming Insecticides,Female,45-59,3
A & N Islands,2005,Means_adopted,By Fire/Self Immolation,Male,45-59,1
A & N Islands,2005,Means_adopted,By Consuming Insecticides,Male,45-59,1
A & N Islands,2005,Means_adopted,By Hanging,Male,45-59,23
A & N Islands,2005,Means_adopted,By Consuming Insecticides,Female,60+,2
A & N Islands,2005,Means_adopted,By Hanging,Female,60+,3
A & N Islands,2005,Means_adopted,By Hanging,Male,60+,17
A & N Islands,2006,Means_adopted,By Consuming Other Poison,Female,0-14,1
A & N Islands,2006,Means_adopted,By Consuming Other Poison,Male,0-14,1
A & N Islands,2006,Means_adopted,By Hanging,Male,0-14,1
A & N Islands,2006,Means_adopted,By Drowning,Male,0-14,2
A & N Islands,2006,Means_adopted,By Fire/Self Immolation,Female,15-29,1
A & N Islands,2006,Means_adopted,By Hanging,Female,15-29,15
A & N Islands,2006,Means_adopted,By Drowning,Female,15-29,1
A & N Islands,2006,Means_adopted,By Consuming Other Poison,Female,15-29,4
A & N Islands,2006,Means_adopted,By Hanging,Male,15-29,19
A & N Islands,2006,Means_adopted,By Consuming Other Poison,Male,15-29,2
A & N Islands,2006,Means_adopted,By Hanging,Female,30-44,7
A & N Islands,2006,Means_adopted,By Consuming Other Poison,Female,30-44,2
A & N Islands,2006,Means_adopted,By Fire/Self Immolation,Female,30-44,1
A & N Islands,2006,Means_adopted,By Consuming Other Poison,Male,30-44,3
A & N Islands,2006,Means_adopted,By Fire/Self Immolation,Male,30-44,2
A & N Islands,2006,Means_adopted,By Hanging,Male,30-44,28
A & N Islands,2006,Means_adopted,By Drowning,Male,30-44,1
A & N Islands,2006,Means_adopted,By Consuming Other Poison,Female,45-59,1
A & N Islands,2006,Means_adopted,By Hanging,Female,45-59,2
A & N Islands,2006,Means_adopted,By Hanging,Male,45-59,23
A & N Islands,2006,Means_adopted,By Consuming Other Poison,Male,45-59,2
A & N Islands,2006,Means_adopted,By Hanging,Female,60+,2
A & N Islands,2006,Means_adopted,By Hanging,Male,60+,10
A & N Islands,2006,Means_adopted,By Fire/Self Immolation,Male,60+,2
A & N Islands,2007,Means_adopted,By Hanging,Female,0-14,4
A & N Islands,2007,Means_adopted,By Consuming Other Poison,Female,0-14,1
A & N Islands,2007,Means_adopted,By Fire/Self Immolation,Female,0-14,1
A & N Islands,2007,Means_adopted,By Fire/Self Immolation,Female,15-29,1
A & N Islands,2007,Means_adopted,By Hanging,Female,15-29,25
A & N Islands,2007,Means_adopted,By Hanging,Male,45-59,23
A & N Islands,2007,Means_adopted,By Consuming Other Poison,Female,15-29,3
A & N Islands,2007,Means_adopted,By Drowning,Female,15-29,1
A & N Islands,2007,Means_adopted,By Hanging,Male,15-29,32
A & N Islands,2007,Means_adopted,By Consuming Other Poison,Male,15-29,4
A & N Islands,2007,Means_adopted,By Hanging,Female,30-44,7
A & N Islands,2007,Means_adopted,By Consuming Other Poison,Female,30-44,2
A & N Islands,2007,Means_adopted,By Drowning,Female,30-44,1
A & N Islands,2007,Means_adopted,By Hanging,Male,30-44,20
A & N Islands,2007,Means_adopted,By Consuming Other Poison,Male,30-44,2
A & N Islands,2007,Means_adopted,By Fire/Self Immolation,Male,30-44,1
A & N Islands,2007,Means_adopted,By Drowning,Male,30-44,3
A & N Islands,2007,Means_adopted,By Hanging,Female,45-59,8
A & N Islands,2007,Means_adopted,By Consuming Other Poison,Male,45-59,4
A & N Islands,2007,Means_adopted,By Hanging,Female,60+,2
A & N Islands,2007,Means_adopted,By Consuming Other Poison,Male,60+,3
A & N Islands,2007,Means_adopted,By Hanging,Male,60+,8
A & N Islands,2008,Means_adopted,By Consuming Other Poison,Female,15-29,3
A & N Islands,2008,Means_adopted,By Fire/Self Immolation,Female,15-29,2
A & N Islands,2008,Means_adopted,By Hanging,Female,15-29,18
A & N Islands,2008,Means_adopted,By Hanging,Male,15-29,27
A & N Islands,2008,Means_adopted,By Consuming Other Poison,Male,15-29,4
A & N Islands,2008,Means_adopted,By Consuming Other Poison,Female,30-44,1
A & N Islands,2008,Means_adopted,By Fire/Self Immolation,Female,30-44,1
A & N Islands,2008,Means_adopted,By Hanging,Female,30-44,11
A & N Islands,2008,Means_adopted,By Fire/Self Immolation,Male,30-44,1
A & N Islands,2008,Means_adopted,By Consuming Other Poison,Male,30-44,4
A & N Islands,2008,Means_adopted,By Hanging,Male,30-44,27
A & N Islands,2008,Means_adopted,By Hanging,Female,45-59,5
A & N Islands,2008,Means_adopted,By Hanging,Male,45-59,17
A & N Islands,2008,Means_adopted,By Consuming Other Poison,Male,45-59,4
A & N Islands,2008,Means_adopted,By Consuming Other Poison,Female,60+,1
A & N Islands,2008,Means_adopted,By Hanging,Female,60+,3
A & N Islands,2008,Means_adopted,By Consuming Other Poison,Male,60+,2
A & N Islands,2008,Means_adopted,By Hanging,Male,60+,12
A & N Islands,2009,Means_adopted,By Consuming Other Poison,Female,0-14,1
A & N Islands,2009,Means_adopted,By Hanging,Female,0-14,6
A & N Islands,2009,Means_adopted,By Hanging,Male,0-14,1
A & N Islands,2009,Means_adopted,By Hanging,Female,15-29,14
A & N Islands,2009,Means_adopted,By Fire/Self Immolation,Female,15-29,2
A & N Islands,2009,Means_adopted,By Consuming Other Poison,Female,15-29,3
A & N Islands,2009,Means_adopted,By Consuming Other Poison,Male,15-29,4
A & N Islands,2009,Means_adopted,By Consuming Insecticides,Male,15-29,1
A & N Islands,2009,Means_adopted,By Hanging,Male,15-29,26
A & N Islands,2009,Means_adopted,By Consuming Other Poison,Female,30-44,1
A & N Islands,2009,Means_adopted,By Fire/Self Immolation,Female,30-44,2
A & N Islands,2009,Means_adopted,By Hanging,Female,30-44,10
A & N Islands,2009,Means_adopted,By Drowning,Female,30-44,1
A & N Islands,2009,Means_adopted,By Hanging,Male,30-44,20
A & N Islands,2009,Means_adopted,By Drowning,Male,30-44,1
A & N Islands,2009,Means_adopted,By Consuming Other Poison,Male,30-44,1
A & N Islands,2009,Means_adopted,By Consuming Insecticides,Male,30-44,1
A & N Islands,2009,Means_adopted,By Fire/Self Immolation,Female,45-59,1
A & N Islands,2009,Means_adopted,By Consuming Other Poison,Female,45-59,1
A & N Islands,2009,Means_adopted,By Hanging,Female,45-59,2
A & N Islands,2009,Means_adopted,By Consuming Other Poison,Male,45-59,3
A & N Islands,2009,Means_adopted,By Fire/Self Immolation,Male,45-59,1
A & N Islands,2009,Means_adopted,By Hanging,Male,45-59,21
A & N Islands,2009,Means_adopted,By Hanging,Female,60+,1
A & N Islands,2009,Means_adopted,By Consuming Other Poison,Male,60+,1
A & N Islands,2009,Means_adopted,By Hanging,Male,60+,5
A & N Islands,2010,Means_adopted,By Hanging,Male,0-14,3
A & N Islands,2010,Means_adopted,By Consuming Insecticides,Male,0-14,1
A & N Islands,2010,Means_adopted,By Hanging,Female,15-29,19
A & N Islands,2010,Means_adopted,By Consuming Insecticides,Female,15-29,6
A & N Islands,2010,Means_adopted,By Fire/Self Immolation,Female,15-29,2
A & N Islands,2010,Means_adopted,By Consuming Other Poison,Female,15-29,1
A & N Islands,2010,Means_adopted,By Consuming Insecticides,Male,15-29,3
A & N Islands,2010,Means_adopted,By Hanging,Male,15-29,35
A & N Islands,2010,Means_adopted,By Drowning,Male,15-29,1
A & N Islands,2010,Means_adopted,By Fire/Self Immolation,Female,30-44,1
A & N Islands,2010,Means_adopted,By Hanging,Female,30-44,8
A & N Islands,2010,Means_adopted,By Consuming Insecticides,Female,30-44,2
A & N Islands,2010,Means_adopted,By Consuming Insecticides,Male,30-44,3
A & N Islands,2010,Means_adopted,By Fire/Self Immolation,Male,30-44,1
A & N Islands,2010,Means_adopted,By Consuming Other Poison,Male,30-44,1
A & N Islands,2010,Means_adopted,By Hanging,Male,30-44,28
A & N Islands,2010,Means_adopted,By Hanging,Female,45-59,2
A & N Islands,2010,Means_adopted,By Consuming Insecticides,Male,45-59,3
A & N Islands,2010,Means_adopted,By Hanging,Male,45-59,15
A & N Islands,2010,Means_adopted,By Consuming Insecticides,Female,60+,1
A & N Islands,2010,Means_adopted,By Hanging,Female,60+,2
A & N Islands,2010,Means_adopted,By Drowning,Male,60+,1
A & N Islands,2010,Means_adopted,By Consuming Insecticides,Male,60+,2
A & N Islands,2010,Means_adopted,By Hanging,Male,60+,14
A & N Islands,2010,Means_adopted,By Fire/Self Immolation,Male,60+,1
A & N Islands,2011,Means_adopted,By Fire/Self Immolation,Female,0-14,1
A & N Islands,2011,Means_adopted,By Hanging,Female,0-14,2
A & N Islands,2011,Means_adopted,By Other means (please specify),Female,0-14,1
A & N Islands,2011,Means_adopted,By Hanging,Male,0-14,1
A & N Islands,2011,Means_adopted,By Hanging,Female,15-29,15
A & N Islands,2011,Means_adopted,By Consuming Insecticides,Female,15-29,2
A & N Islands,2011,Means_adopted,By Fire/Self Immolation,Female,15-29,1
A & N Islands,2011,Means_adopted,By Consuming Other Poison,Female,15-29,1
A & N Islands,2011,Means_adopted,By Fire-Arms,Male,15-29,1
A & N Islands,2011,Means_adopted,By Other means (please specify),Male,15-29,1
A & N Islands,2011,Means_adopted,By Fire/Self Immolation,Male,15-29,1
A & N Islands,2011,Means_adopted,By Hanging,Male,15-29,25
A & N Islands,2011,Means_adopted,By Fire/Self Immolation,Female,30-44,1
A & N Islands,2011,Means_adopted,By Hanging,Female,30-44,8
A & N Islands,2011,Means_adopted,By Consuming Other Poison,Female,30-44,1
A & N Islands,2011,Means_adopted,By Consuming Insecticides,Female,30-44,1
A & N Islands,2011,Means_adopted,By Drowning,Male,30-44,1
A & N Islands,2011,Means_adopted,By Other means (please specify),Male,30-44,1
A & N Islands,2011,Means_adopted,By Consuming Insecticides,Male,30-44,1
A & N Islands,2011,Means_adopted,By Consuming Other Poison,Male,30-44,2
A & N Islands,2011,Means_adopted,By Hanging,Male,30-44,30
A & N Islands,2011,Means_adopted,By Consuming Other Poison,Female,45-59,1
A & N Islands,2011,Means_adopted,By Fire/Self Immolation,Female,45-59,1
A & N Islands,2011,Means_adopted,By Other means (please specify),Female,45-59,2
A & N Islands,2011,Means_adopted,By Hanging,Female,45-59,2
A & N Islands,2011,Means_adopted,By Other means (please specify),Male,45-59,3
A & N Islands,2011,Means_adopted,By Hanging,Male,45-59,16
A & N Islands,2011,Means_adopted,By Consuming Insecticides,Male,45-59,1
A & N Islands,2011,Means_adopted,By Hanging,Female,60+,1
A & N Islands,2011,Means_adopted,By Consuming Insecticides,Female,60+,1
A & N Islands,2011,Means_adopted,By Consuming Insecticides,Male,60+,2
A & N Islands,2011,Means_adopted,By Hanging,Male,60+,7
A & N Islands,2011,Means_adopted,By Consuming Other Poison,Male,60+,1
A & N Islands,2012,Means_adopted,By Hanging,Female,0-14,1
A & N Islands,2012,Means_adopted,By Hanging,Male,0-14,2
A & N Islands,2012,Means_adopted,By Drowning,Female,15-29,2
A & N Islands,2012,Means_adopted,By Fire/Self Immolation,Female,15-29,2
A & N Islands,2012,Means_adopted,By Hanging,Female,15-29,17
A & N Islands,2012,Means_adopted,By Consuming Other Poison,Male,15-29,2
A & N Islands,2012,Means_adopted,By Hanging,Male,15-29,20
A & N Islands,2012,Means_adopted,By Consuming Other Poison,Female,30-44,1
A & N Islands,2012,Means_adopted,By Hanging,Female,30-44,8
A & N Islands,2012,Means_adopted,By Overdose of sleeping pills,Female,30-44,1
A & N Islands,2012,Means_adopted,By Fire/Self Immolation,Female,30-44,2
Andhra Pradesh,2006,Means_adopted,By Fire-Arms,Male,15-29,2
A & N Islands,2012,Means_adopted,By Consuming Other Poison,Male,30-44,1
A & N Islands,2012,Means_adopted,By Hanging,Male,30-44,25
A & N Islands,2012,Means_adopted,By Hanging,Female,45-59,3
A & N Islands,2012,Means_adopted,By Consuming Insecticides,Male,45-59,2
A & N Islands,2012,Means_adopted,By Hanging,Male,45-59,17
A & N Islands,2012,Means_adopted,By Fire/Self Immolation,Male,45-59,1
A & N Islands,2012,Means_adopted,By Hanging,Female,60+,3
A & N Islands,2012,Means_adopted,By Fire/Self Immolation,Female,60+,1
A & N Islands,2012,Means_adopted,By Consuming Insecticides,Male,60+,1
A & N Islands,2012,Means_adopted,By Consuming Other Poison,Male,60+,1
A & N Islands,2012,Means_adopted,By Hanging,Male,60+,8
Andhra Pradesh,2001,Means_adopted,By coming under running vehicles/trains,Female,0-14,7
Andhra Pradesh,2001,Means_adopted,By Hanging,Female,0-14,50
Andhra Pradesh,2001,Means_adopted,By Fire/Self Immolation,Female,0-14,28
Andhra Pradesh,2001,Means_adopted,By Drowning,Female,0-14,26
Andhra Pradesh,2001,Means_adopted,By Consuming Insecticides,Female,0-14,60
Andhra Pradesh,2001,Means_adopted,By Other means (please specify),Female,0-14,8
Andhra Pradesh,2001,Means_adopted,By Consuming Other Poison,Female,0-14,6
Andhra Pradesh,2001,Means_adopted,By coming under running vehicles/trains,Male,0-14,6
Andhra Pradesh,2001,Means_adopted,By Consuming Insecticides,Male,0-14,53
Andhra Pradesh,2001,Means_adopted,By Fire/Self Immolation,Male,0-14,16
Andhra Pradesh,2001,Means_adopted,By Hanging,Male,0-14,19
Andhra Pradesh,2001,Means_adopted,By Consuming Other Poison,Male,0-14,19
Andhra Pradesh,2001,Means_adopted,By Other means (please specify),Male,0-14,15
Andhra Pradesh,2001,Means_adopted,By Jumping off Moving Vehicles/Trains,Male,0-14,1
Andhra Pradesh,2001,Means_adopted,By Drowning,Male,0-14,38
Andhra Pradesh,2001,Means_adopted,By Jumping from (Other sites),Male,0-14,6
Andhra Pradesh,2001,Means_adopted,By Hanging,Female,15-29,323
Andhra Pradesh,2001,Means_adopted,By Overdose of sleeping pills,Female,15-29,3
Andhra Pradesh,2001,Means_adopted,By Drowning,Female,15-29,198
Andhra Pradesh,2001,Means_adopted,By coming under running vehicles/trains,Female,15-29,30
Andhra Pradesh,2001,Means_adopted,By Other means (please specify),Female,15-29,80
Andhra Pradesh,2001,Means_adopted,By Fire/Self Immolation,Female,15-29,358
Andhra Pradesh,2001,Means_adopted,By Over Alcoholism,Female,15-29,5
Andhra Pradesh,2001,Means_adopted,By Jumping from (Building),Female,15-29,2
Andhra Pradesh,2001,Means_adopted,By Self Infliction of injury,Female,15-29,28
Andhra Pradesh,2001,Means_adopted,By Consuming Insecticides,Female,15-29,595
Andhra Pradesh,2001,Means_adopted,By Consuming Other Poison,Female,15-29,235
Andhra Pradesh,2001,Means_adopted,By Fire-Arms,Female,15-29,14
Andhra Pradesh,2001,Means_adopted,By Consuming Insecticides,Male,15-29,649
Andhra Pradesh,2001,Means_adopted,By Over Alcoholism,Male,15-29,18
Andhra Pradesh,2001,Means_adopted,By Hanging,Male,15-29,410
Andhra Pradesh,2001,Means_adopted,By Machine,Male,15-29,2
Andhra Pradesh,2001,Means_adopted,By Fire-Arms,Male,15-29,8
Andhra Pradesh,2001,Means_adopted,By Other means (please specify),Male,15-29,224
Andhra Pradesh,2001,Means_adopted,By coming under running vehicles/trains,Male,15-29,131
Andhra Pradesh,2001,Means_adopted,By Fire/Self Immolation,Male,15-29,102
Andhra Pradesh,2001,Means_adopted,By Self Infliction of injury,Male,15-29,22
Andhra Pradesh,2001,Means_adopted,By Consuming Other Poison,Male,15-29,352
Andhra Pradesh,2001,Means_adopted,By Jumping from (Other sites),Male,15-29,7
Andhra Pradesh,2001,Means_adopted,By touching electric wires,Male,15-29,10
Andhra Pradesh,2001,Means_adopted,By Overdose of sleeping pills,Male,15-29,9
Andhra Pradesh,2001,Means_adopted,By Drowning,Male,15-29,114
Andhra Pradesh,2001,Means_adopted,By Hanging,Female,30-44,205
Andhra Pradesh,2001,Means_adopted,By Jumping from (Other sites),Female,30-44,1
Andhra Pradesh,2001,Means_adopted,By Drowning,Female,30-44,87
Andhra Pradesh,2001,Means_adopted,By Consuming Other Poison,Female,30-44,145
Andhra Pradesh,2001,Means_adopted,By Over Alcoholism,Female,30-44,3
Andhra Pradesh,2001,Means_adopted,By Fire-Arms,Female,30-44,11
Andhra Pradesh,2001,Means_adopted,By Other means (please specify),Female,30-44,56
Andhra Pradesh,2001,Means_adopted,By Fire/Self Immolation,Female,30-44,189
Andhra Pradesh,2001,Means_adopted,By coming under running vehicles/trains,Female,30-44,26
Andhra Pradesh,2001,Means_adopted,By Jumping from (Building),Female,30-44,1
Andhra Pradesh,2001,Means_adopted,By Machine,Female,30-44,1
Andhra Pradesh,2001,Means_adopted,By Self Infliction of injury,Female,30-44,15
Andhra Pradesh,2001,Means_adopted,By Consuming Insecticides,Female,30-44,456
Andhra Pradesh,2001,Means_adopted,By Overdose of sleeping pills,Female,30-44,2
Andhra Pradesh,2001,Means_adopted,By Jumping from (Other sites),Male,30-44,5
Andhra Pradesh,2001,Means_adopted,By Drowning,Male,30-44,139
Andhra Pradesh,2001,Means_adopted,By Over Alcoholism,Male,30-44,19
Andhra Pradesh,2001,Means_adopted,By Consuming Insecticides,Male,30-44,701
Andhra Pradesh,2001,Means_adopted,By touching electric wires,Male,30-44,19
Andhra Pradesh,2001,Means_adopted,By Jumping from (Building),Male,30-44,3
Andhra Pradesh,2001,Means_adopted,By Other means (please specify),Male,30-44,93
Andhra Pradesh,2001,Means_adopted,By Fire-Arms,Male,30-44,5
Andhra Pradesh,2001,Means_adopted,By coming under running vehicles/trains,Male,30-44,161
Andhra Pradesh,2001,Means_adopted,By Jumping off Moving Vehicles/Trains,Male,30-44,39
Andhra Pradesh,2001,Means_adopted,By Fire/Self Immolation,Male,30-44,172
Andhra Pradesh,2001,Means_adopted,By Overdose of sleeping pills,Male,30-44,8
Andhra Pradesh,2001,Means_adopted,By Self Infliction of injury,Male,30-44,17
Andhra Pradesh,2001,Means_adopted,By Consuming Other Poison,Male,30-44,351
Andhra Pradesh,2001,Means_adopted,By Hanging,Male,30-44,481
Andhra Pradesh,2001,Means_adopted,By Consuming Other Poison,Female,45-59,122
Andhra Pradesh,2001,Means_adopted,By Other means (please specify),Female,45-59,68
Andhra Pradesh,2001,Means_adopted,By Fire/Self Immolation,Female,45-59,68
Andhra Pradesh,2001,Means_adopted,By Over Alcoholism,Female,45-59,2
Andhra Pradesh,2001,Means_adopted,By coming under running vehicles/trains,Female,45-59,21
Andhra Pradesh,2001,Means_adopted,By Hanging,Female,45-59,128
Andhra Pradesh,2001,Means_adopted,By Consuming Insecticides,Female,45-59,222
Andhra Pradesh,2001,Means_adopted,By Fire-Arms,Female,45-59,4
Andhra Pradesh,2001,Means_adopted,By Drowning,Female,45-59,53
Andhra Pradesh,2001,Means_adopted,By touching electric wires,Female,45-59,3
Andhra Pradesh,2001,Means_adopted,By Self Infliction of injury,Female,45-59,6
Andhra Pradesh,2001,Means_adopted,By Jumping from (Building),Male,45-59,1
Andhra Pradesh,2001,Means_adopted,By Consuming Insecticides,Male,45-59,657
Andhra Pradesh,2001,Means_adopted,By Jumping off Moving Vehicles/Trains,Male,45-59,14
Andhra Pradesh,2001,Means_adopted,By Self Infliction of injury,Male,45-59,7
Andhra Pradesh,2001,Means_adopted,By Hanging,Male,45-59,289
Andhra Pradesh,2001,Means_adopted,By Overdose of sleeping pills,Male,45-59,4
Andhra Pradesh,2001,Means_adopted,By coming under running vehicles/trains,Male,45-59,98
Andhra Pradesh,2001,Means_adopted,By Over Alcoholism,Male,45-59,19
Andhra Pradesh,2001,Means_adopted,By Drowning,Male,45-59,66
Andhra Pradesh,2001,Means_adopted,By Fire/Self Immolation,Male,45-59,125
Andhra Pradesh,2001,Means_adopted,By Fire-Arms,Male,45-59,2
Andhra Pradesh,2001,Means_adopted,By touching electric wires,Male,45-59,2
Andhra Pradesh,2001,Means_adopted,By Consuming Other Poison,Male,45-59,240
Andhra Pradesh,2001,Means_adopted,By Other means (please specify),Male,45-59,42
Andhra Pradesh,2001,Means_adopted,By touching electric wires,Female,60+,1
Andhra Pradesh,2001,Means_adopted,By Other means (please specify),Female,60+,18
Andhra Pradesh,2001,Means_adopted,By Drowning,Female,60+,34
Andhra Pradesh,2001,Means_adopted,By Hanging,Female,60+,39
Andhra Pradesh,2001,Means_adopted,By Consuming Other Poison,Female,60+,25
Andhra Pradesh,2001,Means_adopted,By Over Alcoholism,Female,60+,2
Andhra Pradesh,2001,Means_adopted,By Overdose of sleeping pills,Female,60+,1
Andhra Pradesh,2001,Means_adopted,By Self Infliction of injury,Female,60+,4
Andhra Pradesh,2001,Means_adopted,By coming under running vehicles/trains,Female,60+,15
Andhra Pradesh,2001,Means_adopted,By Fire/Self Immolation,Female,60+,24
Andhra Pradesh,2001,Means_adopted,By Consuming Insecticides,Female,60+,29
Andhra Pradesh,2001,Means_adopted,By Drowning,Male,60+,28
Andhra Pradesh,2001,Means_adopted,By Jumping from (Building),Male,60+,1
Andhra Pradesh,2001,Means_adopted,By Jumping off Moving Vehicles/Trains,Male,60+,14
