state,year,type_code,type,gender,age_group,total
A & N Islands,2001,Causes,Love Affairs,Female,0-14,1
A & N Islands,2001,Causes,Other Causes (Please Specity),Female,0-14,1
A & N Islands,2001,Causes,Other Prolonged Illness,Male,0-14,1
A & N Islands,2001,Causes,Failure in Examination,Male,0-14,1
A & N Islands,2001,Causes,Other Prolonged Illness,Female,15-29,8
A & N Islands,2001,Causes,Causes Not known,Female,15-29,8
A & N Islands,2001,Causes,Other Causes (Please Specity),Female,15-29,6
A & N Islands,2001,Causes,Family Problems,Female,15-29,5
A & N Islands,2001,Causes,Failure in Examination,Female,15-29,2
A & N Islands,2001,Causes,Insanity/Mental Illness,Female,15-29,2
A & N Islands,2001,Causes,Other Causes (Please Specity),Male,15-29,4
A & N Islands,2001,Causes,Other Prolonged Illness,Male,15-29,3
A & N Islands,2001,Causes,Family Problems,Male,15-29,3
A & N Islands,2001,Causes,Love Affairs,Male,15-29,3
A & N Islands,2001,Causes,Insanity/Mental Illness,Male,15-29,2
A & N Islands,2001,Causes,Failure in Examination,Male,15-29,1
A & N Islands,2001,Causes,Causes Not known,Male,15-29,9
A & N Islands,2001,Causes,Other Prolonged Illness,Female,30-44,3
A & N Islands,2001,Causes,Causes Not known,Female,30-44,2
A & N Islands,2001,Causes,Death of Dear Person,Female,30-44,1
A & N Islands,2001,Causes,Other Causes (Please Specity),Female,30-44,1
A & N Islands,2001,Causes,Insanity/Mental Illness,Female,30-44,2
A & N Islands,2001,Causes,Insanity/Mental Illness,Male,30-44,3
A & N Islands,2001,Causes,Causes Not known,Male,30-44,8
A & N Islands,2001,Causes,Other Prolonged Illness,Male,30-44,6
A & N Islands,2001,Causes,Family Problems,Male,30-44,4
A & N Islands,2001,Causes,Other Causes (Please Specity),Male,30-44,2
A & N Islands,2001,Causes,Family Problems,Female,45-59,2
A & N Islands,2001,Causes,Causes Not known,Female,45-59,1
A & N Islands,2001,Causes,Other Prolonged Illness,Female,45-59,2
A & N Islands,2001,Causes,Causes Not known,Male,45-59,10
A & N Islands,2001,Causes,Family Problems,Male,45-59,3
A & N Islands,2001,Causes,Insanity/Mental Illness,Male,45-59,3
A & N Islands,2001,Causes,Other Causes (Please Specity),Male,45-59,1
A & N Islands,2001,Causes,Other Prolonged Illness,Male,45-59,4
A & N Islands,2001,Causes,Insanity/Mental Illness,Female,60+,1
A & N Islands,2001,Causes,Other Prolonged Illness,Female,60+,1
A & N Islands,2001,Causes,Causes Not known,Female,60+,1
A & N Islands,2001,Causes,Other Prolonged Illness,Male,60+,4
A & N Islands,2001,Causes,Insanity/Mental Illness,Male,60+,1
A & N Islands,2001,Causes,Family Problems,Male,60+,1
A & N Islands,2001,Causes,Other Causes (Please Specity),Male,60+,2
A & N Islands,2002,Causes,Family Problems,Female,0-14,1
A & N Islands,2002,Causes,Failure in Examination,Female,0-14,1
A & N Islands,2002,Causes,Failure in Examination,Male,0-14,1
A & N Islands,2002,Causes,Family Problems,Male,0-14,1
A & N Islands,2002,Causes,Family Problems,Female,15-29,11
A & N Islands,2002,Causes,Causes Not known,Female,15-29,7
A & N Islands,2002,Causes,Other Causes (Please Specity),Female,15-29,2
A & N Islands,2002,Causes,Other Prolonged Illness,Female,15-29,2
A & N Islands,2002,Causes,Failure in Examination,Female,15-29,1
A & N Islands,2002,Causes,Love Affairs,Female,15-29,1
A & N Islands,2002,Causes,Insanity/Mental Illness,Female,15-29,4
A & N Islands,2002,Causes,Other Prolonged Illness,Male,15-29,3
A & N Islands,2002,Causes,Insanity/Mental Illness,Male,15-29,2
A & N Islands,2002,Causes,Other Causes (Please Specity),Male,15-29,4
A & N Islands,2002,Causes,Family Problems,Male,15-29,3
A & N Islands,2002,Causes,Love Affairs,Male,15-29,4
A & N Islands,2002,Causes,Causes Not known,Male,15-29,10
A & N Islands,2002,Causes,Unemployment,Male,15-29,1
A & N Islands,2002,Causes,Other Prolonged Illness,Female,30-44,5
A & N Islands,2002,Causes,Causes Not known,Female,30-44,2
A & N Islands,2002,Causes,Family Problems,Female,30-44,1
A & N Islands,2002,Causes,Other Causes (Please Specity),Female,30-44,3
A & N Islands,2002,Causes,Insanity/Mental Illness,Female,30-44,1
A & N Islands,2002,Causes,Love Affairs,Female,30-44,2
A & N Islands,2002,Causes,Family Problems,Male,30-44,4
A & N Islands,2002,Causes,Love Affairs,Male,30-44,1
A & N Islands,2002,Causes,Causes Not known,Male,30-44,9
A & N Islands,2002,Causes,Other Causes (Please Specity),Male,30-44,2
A & N Islands,2002,Causes,Other Prolonged Illness,Male,30-44,5
A & N Islands,2002,Causes,Insanity/Mental Illness,Male,30-44,7
A & N Islands,2002,Causes,Insanity/Mental Illness,Female,45-59,1
A & N Islands,2002,Causes,Family Problems,Female,45-59,1
A & N Islands,2002,Causes,Causes Not known,Female,45-59,1
A & N Islands,2002,Causes,Other Prolonged Illness,Female,45-59,1
A & N Islands,2002,Causes,Death of Dear Person,Female,45-59,1
A & N Islands,2002,Causes,Other Causes (Please Specity),Female,45-59,1
A & N Islands,2002,Causes,Causes Not known,Male,45-59,3
A & N Islands,2002,Causes,Insanity/Mental Illness,Male,45-59,2
A & N Islands,2002,Causes,Other Causes (Please Specity),Male,45-59,7
A & N Islands,2002,Causes,Family Problems,Male,45-59,3
A & N Islands,2002,Causes,Other Prolonged Illness,Male,45-59,6
A & N Islands,2002,Causes,Other Prolonged Illness,Female,60+,1
A & N Islands,2002,Causes,Insanity/Mental Illness,Female,60+,1
A & N Islands,2002,Causes,Causes Not known,Female,60+,1
A & N Islands,2002,Causes,Insanity/Mental Illness,Male,60+,2
A & N Islands,2002,Causes,Other Prolonged Illness,Male,60+,6
A & N Islands,2002,Causes,Other Causes (Please Specity),Male,60+,2
A & N Islands,2002,Causes,Death of Dear Person,Male,60+,1
A & N Islands,2002,Causes,Causes Not known,Male,60+,2
A & N Islands,2003,Causes,Family Problems,Female,0-14,1
A & N Islands,2003,Causes,Causes Not known,Female,0-14,1
A & N Islands,2003,Causes,Death of Dear Person,Female,0-14,1
A & N Islands,2003,Causes,Other Causes (Please Specity),Female,0-14,1
A & N Islands,2003,Causes,Fall in Social Reputation,Male,0-14,1
A & N Islands,2003,Causes,Suspected/Illicit Relation,Female,15-29,1
A & N Islands,2003,Causes,Cancellation/Non-Settlement of Marriage,Female,15-29,1
A & N Islands,2003,Causes,Love Affairs,Female,15-29,2
A & N Islands,2003,Causes,Not having Children(Barrenness/Impotency,Female,15-29,1
A & N Islands,2003,Causes,Other Prolonged Illness,Female,15-29,4
A & N Islands,2003,Causes,Family Problems,Female,15-29,9
A & N Islands,2003,Causes,Other Causes (Please Specity),Female,15-29,2
A & N Islands,2003,Causes,Causes Not known,Female,15-29,5
A & N Islands,2003,Causes,Insanity/Mental Illness,Female,15-29,3
A & N Islands,2003,Causes,Family Problems,Male,15-29,5
A & N Islands,2003,Causes,Other Causes (Please Specity),Male,15-29,5
A & N Islands,2003,Causes,Other Prolonged Illness,Male,15-29,1
A & N Islands,2003,Causes,Poverty,Male,15-29,1
A & N Islands,2003,Causes,Causes Not known,Male,15-29,3
A & N Islands,2003,Causes,Love Affairs,Male,15-29,6
A & N Islands,2003,Causes,Fall in Social Reputation,Male,15-29,1
A & N Islands,2003,Causes,Failure in Examination,Male,15-29,1
A & N Islands,2003,Causes,Causes Not known,Female,30-44,1
A & N Islands,2003,Causes,Family Problems,Female,30-44,1
A & N Islands,2003,Causes,Other Prolonged Illness,Female,30-44,3
A & N Islands,2003,Causes,Fall in Social Reputation,Female,30-44,1
A & N Islands,2003,Causes,Other Causes (Please Specity),Female,30-44,2
A & N Islands,2003,Causes,Insanity/Mental Illness,Male,30-44,4
A & N Islands,2003,Causes,Other Causes (Please Specity),Male,30-44,5
A & N Islands,2003,Causes,Causes Not known,Male,30-44,3
A & N Islands,2003,Causes,Poverty,Male,30-44,2
A & N Islands,2003,Causes,Family Problems,Male,30-44,4
A & N Islands,2003,Causes,Cancellation/Non-Settlement of Marriage,Male,30-44,1
A & N Islands,2003,Causes,Other Prolonged Illness,Male,30-44,3
A & N Islands,2003,Causes,Fall in Social Reputation,Male,30-44,1
A & N Islands,2003,Causes,Other Prolonged Illness,Female,45-59,2
A & N Islands,2003,Causes,Causes Not known,Male,45-59,5
A & N Islands,2003,Causes,Family Problems,Male,45-59,1
A & N Islands,2003,Causes,Insanity/Mental Illness,Male,45-59,1
A & N Islands,2003,Causes,Other Causes (Please Specity),Male,45-59,2
A & N Islands,2003,Causes,Other Prolonged Illness,Male,45-59,8
A & N Islands,2003,Causes,Insanity/Mental Illness,Female,60+,1
A & N Islands,2003,Causes,Causes Not known,Male,60+,2
A & N Islands,2003,Causes,Other Prolonged Illness,Male,60+,2
A & N Islands,2003,Causes,Family Problems,Male,60+,1
A & N Islands,2003,Causes,Other Causes (Please Specity),Male,60+,1
A & N Islands,2004,Causes,Family Problems,Female,0-14,1
A & N Islands,2004,Causes,Love Affairs,Female,15-29,1
A & N Islands,2004,Causes,Causes Not known,Female,15-29,5
A & N Islands,2004,Causes,Death of Dear Person,Female,15-29,1
A & N Islands,2004,Causes,Family Problems,Female,15-29,4
A & N Islands,2004,Causes,Professional/Career Problem,Female,15-29,4
A & N Islands,2004,Causes,Unemployment,Female,15-29,1
A & N Islands,2004,Causes,Insanity/Mental Illness,Female,15-29,1
A & N Islands,2004,Causes,Paralysis,Female,15-29,1
A & N Islands,2004,Causes,Other Prolonged Illness,Female,15-29,3
A & N Islands,2004,Causes,Failure in Examination,Female,15-29,2
A & N Islands,2004,Causes,Other Causes (Please Specity),Male,15-29,1
A & N Islands,2004,Causes,Unemployment,Male,15-29,5
A & N Islands,2004,Causes,Professional/Career Problem,Male,15-29,2
A & N Islands,2004,Causes,Insanity/Mental Illness,Male,15-29,6
A & N Islands,2004,Causes,Causes Not known,Male,15-29,5
A & N Islands,2004,Causes,Bankruptcy or Sudden change in Economic,Male,15-29,1
A & N Islands,2004,Causes,Love Affairs,Male,15-29,4
A & N Islands,2004,Causes,Family Problems,Male,15-29,2
A & N Islands,2004,Causes,Suspected/Illicit Relation,Male,15-29,1
A & N Islands,2004,Causes,Poverty,Male,15-29,2
A & N Islands,2004,Causes,Failure in Examination,Male,15-29,3
A & N Islands,2004,Causes,Other Prolonged Illness,Male,15-29,2
A & N Islands,2004,Causes,Other Prolonged Illness,Female,30-44,6
A & N Islands,2004,Causes,Family Problems,Female,30-44,3
A & N Islands,2004,Causes,Other Causes (Please Specity),Female,30-44,2
A & N Islands,2004,Causes,Insanity/Mental Illness,Female,30-44,2
A & N Islands,2004,Causes,Other Prolonged Illness,Male,30-44,4
A & N Islands,2004,Causes,Other Causes (Please Specity),Male,30-44,4
